Common_Name,Family,Location,Dimensions,Description,Scientific_Name
british_goblet,Gomphidiaceae,Europe,cap 2-5 cm dia; stem 5-10 cm tall * 0.4-0.6 cm dia.,"Chroogomphus britannicus is a small mushroom species characterized by its copper-brown to reddish-brown cap and deeply decurrent gills. It forms mycorrhizal associations with coniferous trees, particularly pines, and is found in forested areas.

Cap  reddish-brown or brick-coloured with a vinaceous tinge, and it is convex or bun-shaped. It becomes heavily viscid when damp but turns shiny when dry. The flesh is vinaceous, moderate and firm. Gills deeply decurrent, pale vinaceous-cinnamon or pale rose-cinnamon, then turning brown, somewhat spaced, often forked. Stem narrowing towards the base, firm, solid, same colour as or paler than the cap, arising from a yellow mycelium. Veil cobweb-like, yellow-orange or reddish-orange, with small scales. Spore print very dark smoky-olive to black.

Microscopic Features: Spores 16.5-23 x 6.5-8 碌m, elongated-ellipsoid or somewhat spindle-shaped, nearly translucent, dextrinoid.",chroogomphus_britannicus
caged_stinkhorn,Phallaceae,North America and Europe,Fruiting body 4-10 cm tall * variable diameter,"Clathrus ruber, also known as caged stinkhorn or the basket stinkhorn is a red mushroom that develops a spherical cage-like structure. It emerges from a white or buff egg.

Fruiting Body as immature a whitish to faintly brownish egg which is 3鈥? cm in diameter. As mature it is 5鈥?8 cm high and 4鈥?0 cm in diameter, consisting of a mesh of arms that surround semi-regular openings, creating a lattice-like structure with is orangish-red to red, fading to pinkish. Spore print olive-brown.

Microscopic Features: The spores are elongated ellipsoidal and have a smooth surface. They measure 4-6 x 1.5-2.5碌m.

Clathrus ruber on the www.first-nature.com web site.

Clathrus ruber on the MushroomExpert.Com Web site.",clathrus_ruber
common_funnel_cap,Tricholomataceae,"North America, Europe","Cap 3-8 cm diameter, stem 3-8 cm tall * 0.5-1 cm thick","Clitocybe gibba is a hardwood-loving mushroom that features a pinkish-tan cap that becomes fairly deeply vase-shaped by maturity. Its pale, crowded gills run down the stem, which is pale in comparison to the cap. It grows solitary or in small troops on soil in broad-leaf woods and on heaths from July to September.

Cap is pink-tinged, leather brown and smooth, silky, and funnel-shaped, typically with a wavy margin. The flesh is soft and white with a fruity smell. Gills deeply decurrent (deeply extended downward), white or pale buff gills that are narrow and quite crowded. Stem similarly coloured as the cap. It is smooth and more or less equal apart from a slightly swollen base. The mushroom has no ring. Spore print white.

Microscopic Features: Spores are smooth, ellipsoidal to pip-shaped, measuring 5.5-8渭m in length and 3.5-5渭m in width.

Synonyms: Infundibulicybe gibba is a synonym.

Clitocybe gibba on the www.first-nature.com web site.

Infundibulicybe (Clitocybe) gibba on the MushroomExpert.Com We site.",clitocybe_gibba
clouded_funnel_cap,Tricholomataceae,"North America, Europe","Cap 8-20 cm diameter, stem 5-10 cm tall * 1.4-4 cm diameter","Clitocybe nebularis or Lepista nebularis, also commonly known as the clouded agaric or cloud funnel cap, has convex to flattened or slightly depressed, cloud-grey cap and white, decurrent gills. It grows solitary or in groups or small clumps, sometimes in fairy rings on soil in coniferous and mixed forests.

Cap soft cloud-grey, darker at the middle, sometimes with a brownish tinge. It is convex with an incurved margin, becoming plane to depressed in shape. The surface is usually dry to moist, and radially fibrillose. The flesh is thick and white. Gills crowded, pale cream and slightly decurrent. Stem coloured as cap, fibrillose, stout, tapering upwards. The mushroom has no ring. Spore print creamy white to very pale buff.

Microscopic Features: The spores are smooth and have an ellipsoidal shape, measuring between 6.5-8.5 x 3.5-4.5渭m.

Clitocybe nebularis on the www.first-nature.com web site.


Clitocybe nebularis on the MushroomExpert.Com Web site.",clitocybe_nebularis
wood_blewit,Tricholomataceae,"North America, Europe","Cap 6-12 cm diameter, stem 5-9 cm tall * 1.5-2.5 cm thick","Clitocybe nuda, also known as Lepista nuda or Wood Blewit, is a medium-sized, fleshy agaric, with a brownish cap and lilac gills. It grows in trooping groups, often in rings, in leaf litter in deciduous and mixed woodland and under hedgerows during autumn and winter.

Cap violet-brown, emerges dark and bun-shaped with an inrolled margin, becoming convex and then flattened. Its colour becomes paler from the margin as the cap surface dries. The flesh bluish lilac, thick, firm. Gills sinuate and crowded. They have a beautiful lilac flush when young, turning buff and then brown as the fruiting body matures. Stem coloured as the cap, more or less equal, fibrillose and often slightly thickened at the base. The stem has no ring. Spore print pale pinkish-buff.

Microscopic Features: Spores are ellipsoidal, measuring 6-8碌m in length and 4-5碌m in width. They are ornamented with tiny spines.

Clitocybe nuda on the First Nature Web site.

Clitocybe nuda on the MushroomExpert.Com Web site.",clitocybe_nuda
the_miller,Entolomataceae,"North America, Europe",5-12 cm diameter * 1.5-4 cm tall,"Clitopilus prunulus also known as The Miller is a medium-sized mushroom with a pale grey-white cap and decurrent, pale pink gills, combined with a strong smell of fresh bread dough. It is a saprotrophic fungus, meaning it obtains its nutrients by decomposing organic matter. It is commonly found in deciduous forests, especially among hardwood trees like oaks, beeches, and birches. It prefers damp and shaded environments with abundant organic matter on the forest floor.

Cap white or light grey or yellow, convex to funnel-shaped that may have an inrolled margin, sticky when moist. Gills deeply decurrent, spaced together rather closely, and whitish, although they often develop a pinkish hue in age. Stem is central or off-centre and is similar in colour to the cap. The stem has no stem ring. Spore print brownish pink.

Microscopic Features: Spores are ellipsoidal, oblong, or amygdaloid in shape, measuring 9-12渭m in length and 4-6渭m in width. They are ornamented with 6 to 8 longitudinal ridges.

Clitopilus prunulus on the First Nature Web site.

Clitopilus prunulus on the MushroomExpert.Com Web site.",clitopilus_prunulus
russet_toughshank,Tricholomataceae,"North America, Europe","Cap 2-6 cm diameter, stem 2-6 cm tall * 0.2-0.5 cm diameter","Collybia dryophila, also known as Russet Toughshank, is a smallish agaric that has a pale tan cap, whitish gills, and a flushed tan stem. The mushroom occurs in troops or more or less tufted on soil and scattered leaves in a variety of forest types.

Cap convex, and russet to ochre. Gills only thinly attached to the stem, whitish and crowded. Stem more or less similarly coloured as the cap, more or less equal but slightly bulbous at the base. The stem has no ring. Spore print white.

Microscopic Features: Spores are smooth, ellipsoidal, measuring 5-6.5渭m in length and 2.5-3.5渭m in width. They are inamyloid.

Synonyms: The mushroom is now known under the name Gymnopus dryophilus.

Gymnopus dryophilus (Collybia dryophila) on the www.first-nature.com web site.

Gymnopus dryophilus (Collybia dryophila) on the MushroomExpert.Com web site.
",collybia_dryophila
tiger's_eye,Hymenochaetaceae,"Europe, parts of North America","Cap 2-8 cm diameter, stem 0.2-1 cm thick * 1.3-3.5 cm tall","Coltricia perennis, also known as Tiger's Eye, is an annual polypore that is very unusual in that it grows in the soil rather than on dead wood. It prefers humus-rich sandy soil on woodland edges and on acidic heathland.

Fruiting body upper surface zoned concentrically in shades of ochre, grey, and rust with a maroon tinge. Initially, it is finely downy but becomes smooth as it ages. The stem is rusty-brown, downy, and more or less central. The flesh is brown, thin, corky, and becomes harder when dry. Spore print golden brown.

Microscopic Features: The spores are inamyloid, smooth, and broadly ellipsoidal, measuring 6-7.5 x 4-4.5碌m.

Coltricia perennis on the www.first-nature.com web site.
",coltricia_perennis
milky_conecap,Bolbitiaceae,North America and Europe,"Cap 0.8-1.5 cm diameter, stem 3-6 cm tall * 0.2-0.3 cm thick","Conocybe apala, also known as Conocybe albipes and commonly Milky Conecap, is a small agaric found growing among short green grass.

Cap pale cream to silvery-white colour and may sometimes have a darker yellow to brown colouration towards the central umbo. Its hood-shaped conical cap expands with age and may flatten out, the surface being marked by minute radiating ridges. Gills adnexed or free, rust-coloured or cinnamon brown and quite dense. The gills may be visible through the thin cap. Stem coloured as the cap, elongated, thin, hollow and more or less equal along its length. The stem has no ring and is extremely fragile. Spore print rust-brown.

Microscopic Features: Spores are ellipsoidal, measuring 11-14渭m in length and 6.5-9渭m in width. They have thick walls and a broad apical germ pore.

Conocybe apala on the First Nature Web site.

Conocybe apala on the MushroomExpert.Com Web site.",conocybe_apala
fairy_inkcap,Psathyrellaceae,North America and Europe,"Cap 0.5-1.5 cm diameter, stem 1.5-3 cm tall * 0.1-0.2 cm diameter","Coprinellus disseminatus, also known as Fairy Inkcap, is a cream-white small agaric that grows on and around stumps and dying deciduous trees. The gills of this mushroom do not dissolve rapidly into an inky fluid, as many of the ink caps do.

Cap broadly egg-shaped with pleated surface, cream-white at first, but becomes grey with age and is darker at centre Gills adnate, medium to closely spaced and white to grey-black coloured. Stem thin, hollow and white and very fragile. Spore print black.

Microscopic Features: The spores have an ellipsoidal to almond-shaped appearance and are smooth in texture. They have an apical germ pore and measure 7-9.5 x 4-5碌m.

Coprinellus disseminatus on the First Nature Web site.

Coprinellus disseminatus on the MushroomExpert.Com Web site.",coprinellus_disseminatus
,Coprinaceae,Europe,"Cap 1.6鈥?.5 cm in width, stem 4-10 cm tall * 0.25-5 mm diameter","Coprinellus xanthothrix is a rather uncommon wood-rotting inkcap characterized by its small size, delicate structure, and unique colouration. The gills are initially white but turn grey and eventually black as the mushroom matures and undergoes the process of autodigestion, where the gills liquefy and release spores. The fruiting bodies grow at night after rain and will self-decompose after spore dispersion is achieved. 

Cap starts as egg-shaped and becomes bell-shaped with deep furrows at the edge. The surface has few pale mica-like scales, mostly near the centre. The colour changes from pale buff to greyer as it matures. Gills adnate, white at first, turning grey and then blackening. Stem white, hollow and slightly swollen near the base. There is no ring. 
Spore print black.

Synonyms: Synonyms of Coprinellus xanthothrix include Coprinus xanthothrix.

Microscopic Features: Spores are smooth, with an ellipsoidal to ovoid shape, measuring 7.5-10 x 5-6碌m. They possess a germ pore.

Coprinellus xanthothrix on the First Nature Web site.",coprinellus_xanthothrix
common_ink_cap,Psathyrellaceae,"North America, Europe","Cap 3-7 cm tall * variable diameter, stem 7-14 cm tall * 1-1.5 cm thick","Coprinopsis atramentaria, is commonly known as the common ink cap, inky cap or alcohol inky cap. It is a medium-sized conical agaric, that is greyish-brownish, later blackening and dissolves itself in a black ink-like liquid at maturity. It grows generally in tufts, in fields, gardens and waste ground, near broad-leaf tree stumps or buried wood. 

Cap egg-shaped when young, expanding to become conical-convex with age. The colour is grey to grey-brown. The flesh is white in young specimens but soon discolours and deliquesces slowly from the margin, fairly thin in relation to size and fragile. Gills attached to the stem or free from it, crowded, whitish, becoming black. Stem white and smooth, with fine reddish-brown fibrils at the base and hollow inside. Spore print black.

Microscopic Features: The spores are smooth and have an ellipsoidal to almond-shaped appearance. They measure 7.5-11 x 4.5-6渭m and have an apical germ pore.

Coprinopsis atramentaria on the First Nature Web site.

Coprinopsis atramentaria on the MushroomExpert.Com Web site.",coprinopsis_atramentaria
scaly_ink_cap,Psathyrellaceae,"North America, Europe","Cap 4-6 cm diameter, stem 8-15 cm tall * 0.8-1.2 cm thick","Coprinopsis variegata, also known as Scaly Ink Cap, is a medium-sized agaric with a  bell-shaped to flattened cap with felt-like, patchy scales. The gills, initially white, turn black in maturity and eventually dissolve into a black ""ink"". The mushroom grows in clusters or groups on leaf litter or rotted hardwood, although the wood may be buried, giving the appearance of growing in the soil.

Cap thin, grey to greyish-brown, initially oval-shaped then bell-shaped, and then flattened with the margin turned upward. When young, the surface of the cap is covered with a woolly whitish or yellowish veil that breaks up into short-lived flakes or scales. Gills broad, thin, crowded closely together and free from attachment to the stem. They are initially white but turn to dark purplish-brown as the spores mature. Stem  thick, hollow, and whitish. It is roughly the same width throughout the length of the stem and may have a wispy, cotton-like ring present near the base. Spore print black or blackish brown.

Microscopic Features: The spores are elliptical, smooth, measuring 7.5-10 x 4-5 碌, and possess a central pore.


Coprinopsis variegata on the MushroomExpert.Com Web site.",coprinopsis_variegata
shaggy-mane_inky_cap,Coprinaceae,"North America, Europe, South America","Cap 5-15 cm tall * variable diameter, stem 10-30 cm tall * 1.5-2.5 cm thick","Coprinus comatus, also known as shaggy-mane ink cap is a common fungus that has a white, conical, shaggy cap which blackens and dissolves itself in black, ink-like liquid at maturity. It grows solitary, scattered or in small clusters on soil in short grass.

Cap almost cylindrical and initially covers most of its stem, becomes later conical. It is mostly white with shaggy scales, which are more pale brown at the apex. The flesh is white and fragile and the taste is mild. Gills free from the stem, very crowded, white, becoming pinkish, then black. Finally turning to black ""ink"". Stem white, hollow, smooth, often very tall, slightly swollen at the base and sometimes rooting. It has a loose ring that is white, thin and often slipping down the stem towards the base. Spore print black.

Microscopic Features: The spores have an ellipsoidal shape and are smooth in texture. They measure 9-13 x 7-9.5碌m and have a germ pore positioned centrally or slightly eccentrically.

Coprinus comatus on the First Nature Web site.

Coprinus comatus on the mykoweb.com web site.

Coprinus comatus on the MushroomExpert.Com Web site.",coprinus_comatus
umbrella_inky_cap,Coprinaceae,"North America, Europe",Cap 0.8鈥? cm; stem 4-8 cm tall * 1-2 mm diameter,"Coprinus plicatilis, also known as Parasola plicatilis or Umbrella inky cap is a small parasol-like agaric that can be found in grassy areas, alone, scattered or in small groups. The fruiting bodies grow at night after rain and will self-decompose after spore dispersion is achieved. 

Cap buff, more cinnamon at the centre and later with a grey tinge at the margin. The shape is ovoid at first, becoming convex or bell-shaped, then flat and finally shallowly convex like a parasol. Gills pallid clay,  soon grey and finally black, free from the stem, close or nearly distant. Stem  white or buff and is equal in width above a slightly swollen base. It is fragile and hollow, with a bald or very finely silky surface. There is no ring. Spore print black.

Microscopic Features: The spores have an almond-shaped appearance, with an irregularly ellipsoidal shape in minor axis cross-section and an ellipsoidal shape in major axis cross-section. They measure 10-13 x 7-10.5 x 6.5-8渭m and have an eccentric germ pore.

Parasola plicatilis on the First Nature Web site.

Parasola plicatilis on the MushroomExpert.Com Web site.",coprinus_plicatilis
silvery_violet_cort,Cortinariaceae,"North America, Europe","Cap 5-8 cm diameter, stem 5-12 cm tall * 1-2 cm thick","Cortinarius alboviolaceus, also called Silvery violet cort, has a convex to an umbonate, fleshy, silvery violet cap. It grows with deciduous trees but is also found with conifers, often on acidic soil. 

Cap first domed and then shallowly convex with a broad umbo, dry, silky. The colour varies from almost white through pale lilac to pale mauve. Gills attached to the stem, close, pale purplish at first, becoming cinnamon to rusty brown. They are covered by a white cortina when young. Stem swollen at the base or assumes a club-like shape, featuring a dry and silky texture. The stem exhibits a pale lilac hue, particularly near the apex, and is adorned with whitish to silvery fibres that can ensnare mature spores, causing rusty colours to emerge. Spore print rusty brown.

Microscopic Features: The spores of these mushrooms are broadly ellipsoidal and measure 7.5-9 x 4.5-6碌m. They possess fine warty ornamentation and are inamyloid.

Cortinarius alboviolaceus on the First Nature Web site.

Cortinarius alboviolaceus on the MushroomExpert.Com Web site.",cortinarius_alboviolaceus
red-banded_cort,Cortinariaceae,"North America, Europe","Cap 4-12 cm diameter, stem 6-12 cm tall * 1-3 cm thick","Cortinarius armillatus, commonly known as the Red-banded Cortinarius, is a medium or large, rounded or humped reddish-brown agaric on a thick bulbous stalk with cinnabar red bands. The mushroom grows solitary or clustered on soil in mixed hardwood-conifer forests, especially spruced ones.

Cap bell-shaped at first, later flattening out, vividly rust-brown becoming slightly paler with age, with small fibrous scales, often with reddish cortinal remnants forming a belt at the margin. Gills dark rust-brown, broad, distant and shallowly sinuate. Stem is a pallid cap colour, streaked with fibrils, more or less equal but markedly swollen at the base. The ring is made of velar remnants forming one or more orange-red median or inferior ring zones. Flesh ilight brown. Spore print rusty reddish-brown.

Microscopic Features: The spores are ellipsoidal, with a size range of 9-12 x 5-7碌m. They possess small warts on their surface and demonstrate dextrinoid properties.

Cortinarius armillatus on the First Nature Web site.

Cortinarius armillatus on the MushroomExpert.Com Web site.",cortinarius_armillatus
goatcheese_webcap,Cortinariaceae,Europe and North America,"Cap 4-10 cm diameter, stem 5-10 cm tall * 1-2 cm wide","Cortinarius camphoratus, also known as Goatcheese webcap, has a convex to an umbonate, fleshy, pale blue lilac cap and has a strong distinctive odour. It is mycorrhizal with spruce trees and thus grows in coniferous forests.

Cap buff with tints of lilac, covered with minute fibers matted on the surface. Initially convex before flattening out, sometimes developing a broad umbo. Margin initially curled inwards but uncurls as the mushroom matures. Flesh coloured lilac to purple and has no distinctive taste but an odour that has been compared to ""curry powder, rotting meat, old goats or goat's cheese"". Gills adnate, pale lilac at first, turning rusty brown as the spores mature. Stem solid and thickens towards the base. Roughly the same colour as the cap and covered with silky white matted fibrils up to the level of the annular zone. Spore print rusty brown.

Microscopic Features: The spores are ellipsoidal with a fine warty texture, measuring 9-11 by 5-6渭m.


Cortinarius camphoratus on the First Nature website.
",cortinarius_camphoratus
gypsy_mushroom,Cortinariaceae,"North America, Europe, East Asia","Cap 5-12 cm diameter, stem 4-10 cm tall * 1-1.5 cm thick","Cortinarius caperatus, also known as Gypsy Mushroom, is egg-shaped on emerging and its cap becomes convex to umbonate with age. It is yellow-brown with a wrinkled surface and remnants of the white to lilac veil in the center. The smooth stem has a narrow, sheathing ring, also known as a partial veil, which is a key identifying feature of the mushroom. The fruit bodies appear in autumn in coniferous and beech woods as well as heathlands in late summer and autumn.

Cap yellow-brown to brownish-ochre and covered with whitish fibres, especially over the centre. The surface has a wrinkled and furrowed texture. It may have a lilac tinge when young. Initially convex before expanding and flattening with a boss (umbo) in the centre. Gills pallid buff or clay, adnate, crowded. The gills are covered by a white partial veil when young. Stem slightly swollen at the base, and is whitish with a thick whitish ring at the midsection, which initially is attached to the cap. Spore print rusty brown to ochre brown.

Microscopic Features: The spores have an ellipsoidal shape, with a size of 10-15 x 7-10碌m and a moderately verrucose surface.

Cortinarius caperatus on the www.first-nature.com web site.

Cortinarius caperatus on the MushroomExpert.Com web site.",cortinarius_caperatus
blue-girdled_webcap,Cortinariaceae,"North America, Europe","Cap 6-10 cm diameter, stem 7-12 cm tall, 1-2.5 cm thick","Cortinarius collinitus, also known as the Blue-girdled Webcap, is a mushroom with an orange-brown cap that is convex or has a wavy margin, and a sturdy white stem. These features are good indicators of this species. Both the cap and the white stem are covered in the slimy remains of the veil, which are blue-tinged. The mushroom is commonly found with spruce trees.

Cap convex to flat in shape, with a sticky, gelatinous surface (in moist conditions). Gills adnexed, close, and pallid or pale violet in colour, becoming rusty brown as the spores mature. Stem solid, equal, has transverse scaly-looking bands and is covered in the veil's slimy remains, which are blue-tinged. The lower part is coloured brown. Spore print rusty brown.

Microscopic Features: The spores are thick-walled, with an ellipsoidal, lemon-shaped, or almond-shaped appearance, and a rough and verrucose texture. They measure 13-16 x 7.5-9.5渭m and are inamyloid.

Cortinarius collinitus on the First Nature Web site.

Cortinarius collinitus on the MushroomExpert.Com Web site.",cortinarius_collinitus
saffron_webcap,Cortinariaceae,Europe,Cap 1.5 - 3 cm diameter; stem 2.5 - 8.5 cm tall x 0.3-0.5 cm diameter,"Cortinarius croceus, also known as the Saffron Webcap, is a small agaric with a tawny-brown cap, yellowish-tawny gills, and a slender, yellowish stem with a faint ring zone. The mushroom grows solitarily or in scattered trooping groups on soil in coniferous woods.

Cap at first ochraceous-brown, becoming rust-coloured, finely felty convex, often slightly umbonate, finely fibrillose. Flesh chrome-yellow and fairly thin. Flesh chrome-yellow, fibrous, narrowly hollow, stuffed or full. Gills adnate or emarginate with a slightly decurrent tooth, at first yellow, then tawny and rust at maturity, fairly Crowded. Stem cylindrical, solid, and has a longitudinally fibrillose texture, with the surface covered in yellow or yellow-brown veil remnants. While there is no visible ring, a faint superior cortinal zone may be present. Spore print rusty-brown.

Microscopic Features: The spores are ovoid or slightly almond-shaped, ranging in size from 6.5 to 9 碌m in length and 4.5 to 5.1 碌m in width. They have a moderately to strongly verrucose surface, meaning they possess a roughened texture.

Cortinarius croceus on the First Nature Web site.

Cortinarius croceus on the MushroomExpert.Com Web site.

",cortinarius_croceus
woolly_webcap,Cortinariaceae,"North America, Europe","Cap 3-8 cm diameter, stem 6-10 cm tall * 1-2 cm thick","Cortinarius laniger, also known as the Woolly Webcap, is a medium-sized agaric with a bell-shaped reddish-brown cap, rust-brown gills, and a pale brown belted stem tinged lilac at the apex. It grows solitarily or in scattered trooping groups on wet mossy soil in or near upland coniferous woods.

Cap broadly bell-shaped, dry, hygrophanous cap with reddish brown to cinnamon-brown shades and margin with white velar remnants. The flesh is whitish and moderate. Gills  bright cinnamon-brown as young, becoming rust-brown at maturity, adnate, broad. Stem cylindrical to club-shaped, covered with silky fibrils and often with bands, patches, or a ring-like annular zone. Odour of radish. Spore print rust colored.

Microscopic Features: The spores are typically ellipsoid or almond-shaped and have a length of approximately 8-10 碌m.

Cortinarius laniger on the Mykoweb Web site.",cortinarius_laniger
apple_webcap,Cortinariaceae,"North America, Europe","Cap 1.5-5 cm diameter, stem 2-7 cm tall * 0.6-1.2 cm diameter","Cortinarius malicorius, also known as Apple Webcap, has a distinctive feature that distinguishes it from many similar species: the young gills of this Cortinarius are orange. It is typically found in coniferous woods.

Cap initially hemispherical and then becomes broadly convex with a brownish cinnamon colour and a more yellow margin, fairly dry and has a silky to finely scaly texture. Gills attached to the stem but may pull away from it as they age. They are close together and start out orange, eventually turning cinnamon to rusty in colour. Stem slightly swollen at the base and soon becomes hollow. It has a bright yellow colour, often with a reddish area near the base, and a yellow corona. 

Microscopic Features: The spores are ellipsoid and measure 6-7.5 x 4-4.5 碌. They have a moderately roughened surface.

Cortinarius malicorius on the MushroomExpert.Com Web site.",cortinarius_malicorius
orange_webcap,Cortinariaceae,"Europe, North America","Cap 6-10 cm diameter, stem 6-10 cm tall * 1-2.5 cm thick","Cortinarius mucosus, also known as Orange Webcap, is a medium to large agaric with a cap that is yellowish-brown and very slimy. It has cinnamon or rust-coloured gills, a stout white stem with a ring zone, and a slightly swollen base. It typically grows with pine or birch and prefers acidic, sandy soils.

Cap coloured dark reddish to orange-brown, convex or wavy margined, smooth, very sticky. Gills grey to cinnamon brown, becoming rusty brown, adnate, close or nearly crowded. Stem white with rust sub-apical cortinal zone. It is smooth or faintly scaly below the cap, more or less equal or slightly swollen at the base, and very sticky. It has no ring. Spore print rusty reddish-brown. 

Microscopic Features: The spores are ellipsoidal, measuring 12-14 x 5.5-6.5碌m, and have a roughened surface.

Cortinarius mucosus on the First Nature Web site.

Cortinarius mucosus on the MushroomExpert.Com Web site.",cortinarius_mucosus
fool's_webcap,Cortinariaceae,Europe,"Cap 3-7 cm diameter, stem 3-8 cm tall * 0.5-1.3 cm diameter","Cortinarius orellanus, also known as Fool's Webcap, is a medium-sized agaric with a tawny brown, blunt umbonate cap. The mushroom grows solitary or in scattered trooping groups, with broad-leaf trees.

Cap bell-shaped, with a sharply inrolled margin at first, expanding to convex or flat, with a broad, low, rounded hump. Surface minutely fibrillose, tending to develop fine, depressed scales. Brownish orange to reddish-orange. Margin thin, often flaring in age. Gills widely-spaced, covered by a weakish cortina in young specimens, pale yellowish at first, becoming red as the spores mature. Stem cylindrical, becoming hollow. Surface fibrillose; moderate yellow to moderate orange with zones of reddish. Spore print rusty reddish-brown.

Microscopic Features: The spores have an ellipsoidal to sub-globose shape, measuring 9-12.5 x 6.5-8.5渭m, and have a rough surface.

Cortinarius orellanus on the www.first-nature.com web site.",cortinarius_orellanus
deadly_webcap,Cortinariaceae,"Europe, parts of North America and Asia","Cap 3-8 cm diameter, stem 5-11 cm tall * 0.8-1.5 cm diameter","Cortinarius rubellus, commonly known as the Deadly Webcap, is a little to middle-sized mushroom that smells of radishes and is tawny-brown to reddish-orange with a pointed, umbonate cap covered with fibrils. The mushroom is mycorrhizal with conifer trees - pine and spruce in particular. It grows on damp acid soil, often fruiting in small groups.

Cap conical to convex (partly flattening at maturity but retaining a slight or sometimes pronounced umbo). In colour, it is a tawny to date brown with paler margins and often covered in fine, fibrous scales. The margin is often slightly rolled down even in fully mature specimens. Gills initially covered by a cobweb-like veil called cortina in young specimens, start as pale yellowish and turn rusty brown as the spores mature. They have an adnate or sometimes adnexed connection to the stipe. Stem often slightly bowed rather than straight, somewhat paler than the cap and usually retains fibres from the cortina, mottled with red. The flesh is cream or pale yellow, but more tan below the pileipellis and in the stem base. Spore print rusty reddish-brown.

Microscopic Features: The spores are ellipsoidal to sub-globose in shape, measuring approximately 9-12 碌m in length and 6.5-8.5 碌m in width. They have a rough surface.

Cortinarius rubellus on the www.first-nature.com web site.
",cortinarius_rubellus
poison_dye_cort,Cortinariaceae,"North America, Europe","Cap 2-6 cm diameter, stem 2-10 cm tall * 0.4-1 cm thick","Cortinarius semisanguineus, also known as Poison Dye Cort, is a medium-sized mushroom with an olive brown to ochre cap, bright blood-red gills and a yellowish stem. It grows typically with conifers and birch.

Cap starts off more or less convex and later becomes broadly convex, flat, or broadly bell-shaped, sometimes featuring a sharp central bump. It has a dry and silky texture, ranging in colour from olive brown to dark reddish brown or ochre, often darker over the centre. Gills attached to the stem but may detach with age. They are fairly crowded, initially blood red and turn cinnamon to rusty over time. In young specimens, they are covered by a yellowish cortina. Stem usually the same colour as the cap or paler, smooth, or finely fibrillose like the cap with threadlike remnants of the veil. Stem flesh darker red-brown than cap flesh. The stem has no ring. Spore print rusty brown.

Microscopic Features: The spores are ellipsoidal, with a rough surface, measuring 6-8 x 4-5碌m. They are inamyloid.

Cortinarius semisanguineus on the First Nature Web site.

Cortinarius semisanguineus on the MushroomExpert.Com Web site.",cortinarius_semisanguineus
gassy_webcap,Cortinariaceae,"North America, Europe","Cap 5-8 cm diameter, stem 5-12 cm tall, 0.6-1.2 cm thick","Cortinarius traganus, also known as Gassy webcap, has a convex to an umbonate, fleshy, silvery violet cap. It is mycorrhizal, usually with deciduous trees, but also found with conifers, often on acidic soil.

Cap initially spherical to convex, with the margin rolled inward, later flattened, sometimes with a large, broad, central umbo. The margin often cracks star-like, particularly in dry weather. Colour first pale azure violet to pale lilac colour, later fading to tan-brown or rusty brown. The surface is dry, silkily shiny or tomentose at the margin with membranaceous bronze fragments of the veil, it becomes later cracked into small scales. Gills sub-crowded, quite thick, broadly adnate, and often slightly emarginate. Colour slightly dirty violet when young, later brown. Stem tough and thick, bulbously at the base, and spongily stuffed inside. It is vivid violet for a long time in the upper part above the cortina, paler below, and covered with a tough, whitish, boot-like veil, which usually leaves upright zones on the stem. The cortina is violet. The flesh is saffron yellowish-brown to yellowish-brown except at the tip of the stem where it is dirty violaceous. Spore print rusty brown.

Microscopic Features:The spores are ellipsoid in shape, adorned with fine warts or dots, and have measurements of approximately 8-9 渭m in length and 5-5.5 渭m in width.


Cortinarius traganus on Wikipedia.
",cortinarius_traganus
violet_cort,Cortinariaceae,"North America, Europe","Cap 6-12 cm diameter, stem 5-12 cm tall * 1-2 cm thick","Cortinarius violaceus, also known as the Violet Webcap or Violet Cort is a fungus in the webcap genus Cortinarius native across the Northern Hemisphere. The mushroom grows in limestone and chalk-rich woodland habitats mainly under Beeches and other broadleaf trees but also very occasionally with conifers. This mushroom fruits in late summer and autumn.

Cap starts as convex, then becomes broadly convex, nearly flat, or slightly bell-shaped. Its texture shifts from densely hairy to fuzzy or scaly, while its colour changes from deep purple to brownish purple and eventually dark brown. Gills adnate (attached to the stem), moderately spaced and purple when young. As the spores mature, the gills turn rusty brown and eventually they are stained dark by the spores. Stem swollen at the base or assumes a club-like shape, purple and fibrous. Spore print rusty brown.

Microscopic Features: Spores are ellipsoidal to amygdaliform (resembling an almond) in shape, measuring 11.5-14.5 x 7-9渭m. They have thick walls and a somewhat ventricose appearance (slightly swollen on one side). The spores are inamyloid.


Cortinarius violaceus on the First Nature Web site.


Cortinarius violaceus on the MushroomExpert.Com Web site.",cortinarius_violaceus
